Goblin,Pronunciation,Part of speech,English
pegri,/ˈpegri/,n.,diamond
pegtak,/ˈpegtak/,n.,age
pegtapu,/pegˈtapu/,n.,confidence
pehwerak,/peˈhwerak/,adj.,excellent; fantastic; wonderful; fabulous; terrific; superb
pek,/pek/,n.,time
pekg,/pekg/,n.,summer
pekge,/ˈpekge/,prep.,including
pekh,/pekh/,n.,kid
pekhou,/ˈpekhou̯/,n.,dress; costume; gown
peki,/ˈpeki/,adj.,exotic
pekout,/ˈpekou̯t/,n.,goat
pekpe,/ˈpekpe/,adv.,sometimes
pekpup,/ˈpekpup/,adv.,once
pekte,/ˈpekte/,v.,refer
pektep,/ˈpektep/,n.,factor; variable
pep,/pep/,v.,follow
pepar,/ˈpepar/,n.,rank (military); rank (position)
pepre,/ˈpepre/,n.,arrow (weapon); arrow (sign)
per,/per/,num.,million
perar,/ˈperar/,v.,mention
perda,/ˈperda/,adj.,fair; just
perdeg,/ˈperdeg/,n.,leaf; sheet
perra,/ˈperra/,n.,chin; beard
peru,/ˈperu/,v.,jump
pet,/pet/,v.,call (cry out)
pettu,/ˈpettu/,n.,salt
peu,/ˈpeu/,conj.,if
pew,/pew/,n.,peace
pewe,/ˈpewe/,n.,rag
peweki,/peˈweki/,n.,amount; quantity
pewtaw,/ˈpewtaw/,n.,record (written account)
pewu,/ˈpewu/,v.,respond; answer; reply
pewu,/ˈpewu/,n.,answer
pi,/pi/,n.,child (son or daughter of any age)
pid,/pid/,v.,secure
pidu,/ˈpidu/,n.,mess
pig,/pig/,n.,piece; segment; bit
pigk,/pigk/,n.,show (performance); play (stage play)
pihe,/ˈpihe/,n.,root; source
piheda,/piˈheda/,n.,bird
pik,/pik/,v.,carry; lift
pika,/ˈpika/,v.,boil
piker,/ˈpiker/,n.,cigarette; cigar
pikg,/pikg/,n.,week
pikh,/pikh/,n.,distance; span
pikou,/ˈpikou̯/,n.,fence; wall
pirda,/ˈpirda/,adv.,still
pirur,/ˈpirur/,v.,would
pitgou,/ˈpitgou̯/,v.,lend; loan; invest
piwu,/ˈpiwu/,n.,balcony; porch
pou,/pou̯/,v.,seem; appear; imply; reveal; expose
poua,/ˈpou̯a/,n.,paper; contract
poud,/pou̯d/,n.,fiction
poug,/pou̯g/,v.,masturbate
pougup,/ˈpou̯gup/,v.,shine; seem; glow; glare; radiate
pouhwi,/ˈpou̯hwi/,adj.,fragile
pouk,/pou̯k/,n.,meal
poukh,/pou̯kh/,n.,wood
poup,/pou̯p/,adv.,about
pout,/pou̯t/,v.,consider
pouwe,/ˈpou̯we/,n.,steel; iron
pouwu,/ˈpou̯wu/,n.,hunger
pu,/pu/,adv.,down
pu,/pu/,prep.,down
pud,/pud/,n.,oven
pudrek,/ˈpudrek/,adj.,social
pug,/pug/,n.,visit
pugk,/pugk/,n.,culture
pugtik,/ˈpugtik/,n.,broom
puha,/ˈpuha/,det.,several
puk,/puk/,n.,result; outcome
pukg,/pukg/,v.,arrive; reach
pukka,/ˈpukka/,n.,rifle
pukkou,/ˈpukkou̯/,n.,security
pup,/pup/,n.,canvas
pupugk,/ˈpupugk/,prep.,under; below
pur,/pur/,v.,teach; instruct; educate; coach; explain; train
purap,/ˈpurap/,n.,rail
purda,/ˈpurda/,n.,point
purdut,/ˈpurdut/,n.,bean
pure,/ˈpure/,v.,wave (salutation)
purrahwi,/puˈrrahwi/,adj.,special; unique
put,/put/,n.,flesh
pute,/ˈpute/,n.,scissors
putra,/ˈputra/,n.,machine; device
ra,/ra/,num.,three
rad,/rad/,v.,hold; grip; clutch
radag,/ˈradag/,n.,rule (law; regulation)
radwat,/ˈradwat/,n.,lizard
radwou,/ˈradwou̯/,n.,weather
rag,/rag/,n.,sky; space (beyond Earth)
rage,/ˈrage/,adj.,mean; rude
raget,/ˈraget/,n.,vision
ragk,/ragk/,n.,community
ragka,/ˈragka/,n.,fire; flame
ragrap,/ˈragrap/,n.,tie
rahwaw,/ˈrahwaw/,n.,dirt; mud; pornography
rahwe,/ˈrahwe/,n.,experiment
rai,/ˈrai/,num.,eight
raka,/ˈraka/,v.,mean (signify); express
rakak,/ˈrakak/,n.,team; couple; pair
rake,/ˈrake/,n.,history
raket,/ˈraket/,n.,pipe; valve
rakgid,/ˈrakgid/,n.,arch; arc; dome
rakgid wegrewagk,/ˈrakgid weˈgrewagk/,n.,rainbow
rakh,/rakh/,n.,person
rakid,/ˈrakid/,adv.,why
rakka,/ˈrakka/,v.,trade
rakkad,/ˈrakkad/,n.,heaven; paradise
rakkat,/ˈrakkat/,n.,spear; lance; pike
rakke,/ˈrakke/,n.,coat; jacket
rakku,/ˈrakku/,n.,noise
rakta,/ˈrakta/,n.,thread; strand
raku,/ˈraku/,prep.,above
rakupakh,/raˈkupakh/,n.,nerve
raou,/ˈraou̯/,v.,aim; intend
rap,/rap/,n.,site
rapri,/ˈrapri/,n.,boot
rapru,/ˈrapru/,adv.,yesterday
rapta,/ˈrapta/,n.,side
rar,/rar/,conj.,while
rarda,/ˈrarda/,adj.,various
rardip,/ˈrardip/,n.,ink
rat,/rat/,n.,animal
rateak,/raˈteak/,n.,military
ratrer,/ˈratrer/,n.,island
ratu,/ˈratu/,n.,puzzle; mystery
raw,/raw/,adj.,thin (narrow); narrow
rawa,/ˈrawa/,n.,flour
rawagk,/ˈrawagk/,n.,bug
rawgat,/ˈrawgat/,n.,field; arena; country (rural area); pasture
rawi,/ˈrawi/,n.,muscle
rawta,/ˈrawta/,n.,basket
rawti,/ˈrawti/,n.,snake
re,/re/,num.,two
red,/red/,n.,dagger
redet,/ˈredet/,n.,room (of house)
redoug,/ˈredou̯g/,v.,tread; step on
redruk,/ˈredruk/,n.,mud; swamp
redukh,/ˈredukh/,n.,hammer
reg,/reg/,n.,word; phrase
rega,/ˈrega/,v.,test; analyze
regar,/ˈregar/,adj.,hot; hot (attractive)
rege,/ˈrege/,v.,charge
reget,/ˈreget/,adj.,gay; homosexual
regk,/regk/,adj.,major
regkak,/ˈregkak/,n.,shark
regkit,/ˈregkit/,n.,wave (ocean); surge
regkougra,/regˈkou̯gra/,n.,bill; check
regte,/ˈregte/,adj.,vulgar
regtu,/ˈregtu/,n.,lounge; couch; sofa
rehwe,/ˈrehwe/,v.,borrow
rei,/ˈrei/,adj.,weird; strange; peculiar
rek,/rek/,n.,friend
reka,/ˈreka/,v.,affect; influence; persuade
rekg,/rekg/,v.,think; deem; believe; ponder; assume
rekh,/rekh/,n.,minute
reki,/ˈreki/,n.,neighbor
rekper,/ˈrekper/,n.,architecture
rep,/rep/,v.,live
repak,/ˈrepak/,n.,preparation
repra,/ˈrepra/,n.,ant
repta,/ˈrepta/,n.,grandfather
reptew,/ˈreptew/,v.,chew
rer,/rer/,adj.,even
reragre,/reˈragre/,adj.,good; right; appropriate; great (excellent); moral
rerdugk,/ˈrerdugk/,v.,imagine; devise
rerdur,/ˈrerdur/,v.,save (put aside)
rerekh,/ˈrerekh/,v.,win
rergu,/ˈrergu/,v.,damage; impair
rergu,/ˈrergu/,n.,damage
ret,/ret/,n.,heart
retgu,/ˈretgu/,n.,excrement; sewage
retru,/ˈretru/,v.,tear; rip
rewa,/ˈrewa/,n.,hill; slope; slant
rewak,/ˈrewak/,adj.,foreign
rewi,/ˈrewi/,n.,month
rewte,/ˈrewte/,v.,crawl
rewti,/ˈrewti/,adj.,native
rewukg,/ˈrewukg/,v.,eat
ri,/ri/,n.,fat (component in food)
rid,/rid/,n.,breast
ridakh,/ˈridakh/,n.,range; extent
rig,/rig/,adj.,next
rigk,/rigk/,v.,trick; deceive; distort; betray
rigkat,/ˈrigkat/,n.,milk
rigu,/ˈrigu/,n.,flood
rihwer,/ˈrihwer/,v.,hit; beat (strike); punch; collide
rik,/rik/,n.,science
rik rug,/rik rug/,n.,astronomy
rik tudekug,/rik tuˈdekug/,n.,geography
rik wuk,/rik wuk/,n.,psychology
rike,/ˈrike/,interj.,hello
rikg,/rikg/,conj.,although; though
rikga,/ˈrikga/,n.,dragon
rikh,/rikh/,n.,knife
rikhi,/ˈrikhi/,v.,complain; criticize
riku,/ˈriku/,n.,frame; cage; hull
rip,/rip/,adj.,weak; sick
ripu,/ˈripu/,n.,well; fountain
rir,/rir/,adj.,middle
rira,/ˈrira/,n.,anxiety
rireke,/riˈreke/,v.,edit
ririt,/ˈririt/,v.,roll; rotate; spin
rit,/rit/,prep.,onto
ritki,/ˈritki/,n.,sex
rittar,/ˈrittar/,adj.,wise
riw,/riw/,v.,find; discover; encounter
riwe,/ˈriwe/,adj.,sharp; acute
riwge,/ˈriwge/,n.,success; benefit
riwik,/ˈriwik/,n.,sin
riwu,/ˈriwu/,v.,wash; rinse
rou,/rou̯/,num.,thousand
roua,/ˈrou̯a/,n.,mistake; error
roug,/rou̯g/,v.,leak; sink
rouga,/ˈrou̯ga/,n.,hook
rouk,/rou̯k/,v.,leave (depart); depart
roukg,/rou̯kg/,adv.,too; so
roukh,/rou̯kh/,n.,sound; noise
roukpag,/ˈrou̯kpag/,n.,rhythm
rour,/rou̯r/,prep.,by (agent performing an action); by (author or creator)
ru,/ru/,adj.,other; new; spare
ru,/ru/,det.,our
rud,/rud/,n.,battle
ruda,/ˈruda/,n.,laboratory
rug,/rug/,n.,star; celebrity
ruga,/ˈruga/,n.,row
rugak,/ˈrugak/,adj.,steep
rugk,/rugk/,n.,baby
rugke,/ˈrugke/,n.,mail
rugrag,/ˈrugrag/,v.,stamp
rugteri,/rugˈteri/,adj.,silly; absurd
ruk,/ruk/,adv.,as
rukag,/ˈrukag/,n.,profit
rukg,/rukg/,n.,name; title
rukg,/rukg/,v.,name
rukh,/rukh/,adj.,ugly
rup,/rup/,n.,view; panorama
ruprugk,/ˈruprugk/,n.,triangle
rupta,/ˈrupta/,v.,focus
rur,/rur/,n.,right; entitlement; privilege
rur awge,/rur ˈawge/,n.,copyright
rurek,/ˈrurek/,adj.,soft; quiet
rurgew,/ˈrurgew/,n.,limit
rurrik,/ˈrurrik/,n.,restaurant; diner
rut,/rut/,n.,river; stream; creek
rut kahwi,/rut ˈkahwi/,n.,glacier
ruta,/ˈruta/,n.,flag
rutkap,/ˈrutkap/,n.,holiday; vacation
rutte,/ˈrutte/,n.,shoulder
ta,/ta/,conj.,that
ta,/ta/,pron.,she; her; hers; it (f.); its (f.)
tad,/tad/,v.,pick
tadat,/ˈtadat/,v.,excite; inspire
tadrak,/ˈtadrak/,n.,impulse
tag,/tag/,n.,will
tagar,/ˈtagar/,v.,close; shut
tagk,/tagk/,num.,five
tagup,/ˈtagup/,n.,bucket; tub
tagura,/taˈgura/,v.,fail
taheg,/ˈtaheg/,adj.,large; huge
tahwi,/ˈtahwi/,adj.,hard; difficult; solid
tak,/tak/,n.,year; age
taka,/ˈtaka/,n.,air; weather
takh,/takh/,n.,officer
takik,/ˈtakik/,adj.,difficult
takiwa,/taˈkiwa/,v.,debate
takkigek,/takˈkigek/,n.,fruit
takkigek urrip,/takˈkigek ˈurrip/,n.,kidney
takud,/ˈtakud/,v.,hurt; injure
tap,/tap/,n.,toilet
tapa,/ˈtapa/,v.,blow
tapak,/ˈtapak/,n.,area; region
tapu,/ˈtapu/,adj.,wet; damp
tar,/tar/,v.,fly
tarak,/ˈtarak/,n.,effect
tarap,/ˈtarap/,n.,percent
tarru,/ˈtarru/,adj.,blank
tat,/tat/,adj.,small; little; narrow
tataw,/ˈtataw/,v.,print
tataw ekh,/ˈtataw ekh/,n.,footprint
tattap,/ˈtattap/,n.,goal (objective)
taw,/taw/,adj.,fine (okay)
tawak,/ˈtawak/,adj.,significant
tawe,/ˈtawe/,n.,belly
tawer,/ˈtawer/,n.,secret
tawouhakg,/taˈwou̯hakg/,adv.,behind; back
tawte,/ˈtawte/,n.,tail; ass (slang)
te,/te/,v.,say; tell; proclaim; express; explain; notify; inform
tedwe,/ˈtedwe/,n.,hood
teg,/teg/,n.,project
tegak,/ˈtegak/,v.,exercise; practice
tegir,/ˈtegir/,adj.,simple
tekg,/tekg/,v.,vomit
tekgar,/ˈtekgar/,n.,curtain
tekh,/tekh/,v.,remember; recognize
tekhe,/ˈtekhe/,v.,sneeze
teki,/ˈteki/,n.,helmet
tekte,/ˈtekte/,v.,cover
tekugk,/ˈtekugk/,adj.,great (excellent); awesome
tekukha,/teˈkukha/,n.,shelf; rack
tep,/tep/,v.,break; crash; smash; snap; split; interrupt; shatter; collide
tepap,/ˈtepap/,adj.,cool (fashionable)
tepew,/ˈtepew/,adj.,sour
ter,/ter/,v.,might
terap,/ˈterap/,adj.,exact; precise
tergu,/ˈtergu/,n.,wound; trauma
tet,/tet/,adj.,real; authentic
tetagk,/ˈtetagk/,num.,zero
tetgupte,/tetˈgupte/,n.,seed
tetgupte tu,/tetˈgupte tu/,n.,semen
tetu,/ˈtetu/,v.,struggle; wrestle
tew,/tew/,n.,dinner
tewa,/ˈtewa/,prep.,per; for each
ti,/ti/,num.,four
tid,/tid/,n.,shame; stigma
tig,/tig/,n.,copper; bronze
tigk,/tigk/,adj.,short; low; brief
tik,/tik/,n.,media
tikg,/tikg/,v.,smell (emit odor); stink
tikgi,/ˈtikgi/,n.,rice; grain; cereal
tikh,/tikh/,n.,environment (natural world)
tiktara,/tikˈtara/,n.,chair
tip,/tip/,v.,spit; hiss
tip,/tip/,n.,saliva
tipe,/ˈtipe/,n.,vehicle
tir,/tir/,num.,ten
tirge,/ˈtirge/,v.,go; continue
tirge kipektu,/ˈtirge kiˈpektu/,v.,approach
tirouw,/ˈtirou̯w/,v.,sort
tit,/tit/,adv.,together
tiw,/tiw/,adj.,available
tiwa,/ˈtiwa/,v.,freeze
tiwe,/ˈtiwe/,v.,thank; bless
tiwge,/ˈtiwge/,n.,costume
tou,/tou̯/,v.,know (a fact); know (be acquainted with)
toug,/tou̯g/,v.,touch; feel (sense by touch)
touga,/ˈtou̯ga/,n.,source; origin; resource
tougradra,/tou̯ˈgradra/,adj.,drunk (inebriated)
toukg,/tou̯kg/,n.,music; melody; tune
toup,/tou̯p/,v.,measure
toutrug,/ˈtou̯trug/,v.,may
touwta,/ˈtou̯wta/,n.,shirt; blouse; top (clothing)
tu,/tu/,n.,life (lifetime); life (soul)
tud,/tud/,adv.,only; merely; hardly
tuda,/ˈtuda/,n.,mask; veil
tudekug,/tuˈdekug/,n.,land; earth; ground
tudet,/ˈtudet/,v.,pour
tug,/tug/,v.,meet
tugk,/tugk/,n.,case; incident
tuhwak,/ˈtuhwak/,n.,theory; thesis
tuk,/tuk/,n.,youth
tukatgag,/tuˈkatgag/,n.,health
tukewikh,/tuˈkewikh/,n.,ancestor
tukge,/ˈtukge/,adj.,certain
tukka,/ˈtukka/,n.,wire; thread
tukteg,/ˈtukteg/,n.,pig
tup,/tup/,n.,nature; essence
tupak,/ˈtupak/,v.,roast
tur,/tur/,n.,doctor
tur kegak,/tur ˈkegak/,n.,dentist
turek,/ˈturek/,n.,prison; jail
turga,/ˈturga/,n.,nail
turge,/ˈturge/,v.,explain; excuse; describe; define
turge,/ˈturge/,n.,excuse
turir,/ˈturir/,adj.,tall
tutu,/ˈtutu/,n.,beast
u,/u/,v.,cook (prepare food)
u,/u/,pron.,you; yours
ud,/ud/,v.,wear; put on
udigk,/ˈudigk/,adj.,gentle
ug,/ug/,v.,catch; capture; seize; notice
ugk,/ugk/,adj.,recent
ugriga,/uˈgriga/,adv.,therefore; thus
ugrou,/ˈugrou̯/,v.,destroy; devastate
ugte,/ˈugte/,v.,argue
uk,/uk/,adj.,last (previous); previous
uka,/ˈuka/,n.,east
ukak,/ˈukak/,v.,exist
ukeku,/uˈkeku/,n.,male
ukg,/ukg/,conj.,because
ukh,/ukh/,adj.,common; medium
ukigradut,/ˌukiˈgradut/,n.,cauldron
ukigrou,/uˈkigrou̯/,n.,mansion
ukiguhwa,/ˌukiˈguhwa/,adj.,ancient
ukihad,/uˈkihad/,n.,trunk (large box)
up,/up/,n.,scene; stage
ura,/ˈura/,n.,honor; dignity; pride
urad,/ˈurad/,n.,lie
ure,/ˈure/,n.,awe
urew,/ˈurew/,v.,doubt
urrip,/ˈurrip/,n.,waist; midriff
uru,/ˈuru/,v.,enjoy; appreciate
urugakta,/ˌuruˈgakta/,n.,relationship
urugu,/uˈrugu/,n.,product (item made)
uruhakha,/ˌuruˈhakha/,n.,building
uruheg,/uˈruheg/,n.,order
uruhewte,/ˌuruˈhewte/,n.,abuse
uruked,/uˈruked/,n.,cut
urukekh,/uˈrukekh/,n.,hate
urukerri,/ˌuruˈkerri/,n.,drawing
urukigkar,/ˌuruˈkigkar/,n.,spelling
urupid,/uˈrupid/,n.,insurance
ururep,/uˈrurep/,n.,life (living organism)
urutiwa,/ˌuruˈtiwa/,n.,frost
urutou,/uˈrutou̯/,n.,knowledge
urutug,/uˈrutug/,n.,meeting
uruwawgat,/ˌuruˈwawgat/,n.,organization
uruwekg,/uˈruwekg/,n.,opening
ut,/ut/,v.,drop
utge,/ˈutge/,n.,garden; orchard
utka,/ˈutka/,v.,provide; cater
utkek,/ˈutkek/,v.,deserve
utrat,/ˈutrat/,adj.,warm
wa,/wa/,adv.,up
wa,/wa/,prep.,up
wad,/wad/,v.,state; declare; say; express
wadug,/ˈwadug/,v.,confess
wag,/wag/,adj.,current
wagaprigk,/waˈgaprigk/,n.,course (direction of travel)
wagaru,/waˈgaru/,adj.,final
wagi,/ˈwagi/,n.,sand; shore
wagk,/wagk/,adv.,out
wagra,/ˈwagra/,n.,lock
wak,/wak/,v.,read
wake,/ˈwake/,n.,rib
wakg,/wakg/,adj.,empty; tired (needing rest)
wakh,/wakh/,n.,comb; brush (for hair)
wakhet,/ˈwakhet/,n.,corner
wakhi,/ˈwakhi/,n.,curve; curl
wakka,/ˈwakka/,v.,taste
wakour,/ˈwakou̯r/,adj.,dead
war,/war/,prep.,for (in favor of)
wardar,/ˈwardar/,n.,gender
warde,/ˈwarde/,v.,regret; lament
warruk,/ˈwarruk/,n.,service
watata,/waˈtata/,n.,soldier
watep,/ˈwatep/,adj.,broken
watgi,/ˈwatgi/,v.,sell
watgi,/ˈwatgi/,n.,sale
watgir,/ˈwatgir/,v.,respect; worship
watgir,/ˈwatgir/,n.,respect
waw,/waw/,n.,liquid
wawak,/ˈwawak/,adj.,sweet
wawe,/ˈwawe/,n.,cork
wawek,/ˈwawek/,n.,silk; thread
wawepte,/waˈwepte/,v.,warn; alert
wawgat,/ˈwawgat/,v.,organize
we,/we/,prep.,about; concerning; regarding
weak,/ˈweak/,n.,target
weda,/ˈweda/,n.,information; data
wedigk,/ˈwedigk/,n.,pocket
wedru,/ˈwedru/,n.,color; hue
wedru ketar,/ˈwedru ˈketar/,n.,lipstick
wedwi,/ˈwedwi/,n.,north
weg,/weg/,n.,worker
wegagre,/weˈgagre/,v.,complicate
wegape,/weˈgape/,v.,show; demonstrate; present
wegk,/wegk/,n.,mouse
wegrewagk,/weˈgrewagk/,n.,rain
wek,/wek/,n.,plan; strategy (plan); program
wek,/wek/,det.,their
wek,/wek/,v.,plan
weka,/ˈweka/,v.,lean; tilt; bow (greet)
wekak,/ˈwekak/,n.,series
wekg,/wekg/,v.,open
wekh,/wekh/,n.,weight
wekuk,/ˈwekuk/,n.,saddle
wep,/wep/,adj.,tough; solid; robust
wer,/wer/,n.,tax; tariff
wera,/ˈwera/,n.,potato
wergat,/ˈwergat/,n.,credit (of money)
wet,/wet/,v.,grow up; sprout
wettu,/ˈwettu/,adj.,famous
wew,/wew/,n.,patient
wewa,/ˈwewa/,n.,girlfriend
wewar,/ˈwewar/,adj.,whole; entire
wewe,/ˈwewe/,n.,brass
wewer,/ˈwewer/,v.,discuss
wewete,/weˈwete/,n.,match (game); contest
wewtugk,/ˈwewtugk/,interj.,welcome
wid,/wid/,n.,fan
wikh,/wikh/,adv.,less
wikte,/ˈwikte/,v.,defecate
wip,/wip/,v.,cook (heat food); cook (prepare food)
wir,/wir/,n.,pump
wira,/ˈwira/,n.,reward; award; prize; medal
wit,/wit/,n.,soap
wiwe,/ˈwiwe/,v.,set
wou,/wou̯/,v.,put (place); situate
woudwa,/ˈwou̯dwa/,v.,drag; pull
wouk,/wou̯k/,n.,past
woup,/wou̯p/,adj.,wide; broad
wouwa,/ˈwou̯wa/,n.,lunch
wu,/wu/,adj.,new
wud,/wud/,n.,number
wuda,/ˈwuda/,n.,tea
wudag,/ˈwudag/,n.,glove
wug,/wug/,n.,square; cube
wugk,/wugk/,conj.,since
wuk,/wuk/,n.,mind (thinking faculty); soul
wukakgou,/wuˈkakgou̯/,v.,solve; figure out; deduce
wukg,/wukg/,n.,bread
wukh,/wukh/,n.,castle
wup,/wup/,n.,pin
wupta,/ˈwupta/,adv.,actually
wur,/wur/,n.,topic; theme
wurdirou,/wurˈdirou̯/,v.,stick
wurdu,/ˈwurdu/,adj.,cute
wurga,/ˈwurga/,n.,company
wurur,/ˈwurur/,adj.,stupid; dumb; dull
wutek,/ˈwutek/,v.,swim
